                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53961,                0.51611,                0.98155,                0.91295,                 0.8594,                0.94787,                0.77518,                 0.8386,                0.64335,                 1.0434,              0.0032982,              0.0032982,              0.0032982
                      2,                0.62856,                0.62323,                 1.0081,                0.70655,                0.50597,                0.57202,                0.47059,                0.82491,                 2.5945,                 1.0535,              0.0066184,              0.0066184,              0.0066184
                      3,                0.73471,                0.83042,                 1.0572,                0.72495,                0.80509,                0.83483,                0.64449,                 0.9596,                 1.0067,                   1.11,              0.0099255,              0.0099255,              0.0099255
                      4,                0.80022,                 1.0444,                 1.1084,                0.70759,                 0.6421,                0.71453,                0.54083,                 1.0106,                 1.5684,                 1.1752,              0.0099406,              0.0099406,              0.0099406
                      5,                0.81696,                 1.1447,                 1.1103,                0.74938,                0.75775,                0.81985,                 0.6156,                 1.0781,                  1.142,                 1.1914,              0.0099208,              0.0099208,              0.0099208
                      6,                0.85153,                 1.1469,                 1.1306,                0.64688,                0.71511,                0.75425,                0.51809,                  1.283,                 1.4846,                 1.3351,               0.009901,               0.009901,               0.009901
                      7,                0.82089,                 1.1015,                 1.1123,                0.81544,                0.82752,                0.88546,                0.72885,                0.79931,                0.88203,                  1.012,              0.0098812,              0.0098812,              0.0098812
                      8,                0.83187,                 1.1409,                 1.1229,                0.82006,                0.75815,                0.86649,                0.66203,                0.94644,                 1.1754,                 1.1168,              0.0098614,              0.0098614,              0.0098614
                      9,                0.83925,                  1.108,                 1.1299,                0.76735,                0.70966,                0.81923,                0.64334,                0.97544,                 1.2927,                 1.1345,              0.0098416,              0.0098416,              0.0098416
                     10,                0.81847,                 1.1004,                 1.1153,                0.86639,                0.78494,                0.86937,                0.69776,                0.88605,                 0.9342,                 1.0712,              0.0098218,              0.0098218,              0.0098218
                     11,                0.81304,                 1.0924,                 1.1101,                0.85596,                0.70207,                0.83716,                0.64191,                 1.0303,                 1.0641,                 1.2197,               0.009802,               0.009802,               0.009802
