                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0473,                 4.0554,                 1.3155,                0.04343,                0.80052,                0.13662,                0.10347,                0.94954,                 3.9932,                 1.1428,             8.2374e-05,             8.2374e-05,             8.2374e-05
                      2,                0.90615,                 3.3725,                 1.2355,                0.24852,                 0.4957,                0.37903,                0.29596,                0.96361,                 3.0511,                  1.181,             0.00016398,             0.00016398,             0.00016398
                      3,                0.91853,                  2.833,                  1.244,                0.41528,                0.51682,                 0.4942,                0.36771,                0.98487,                 2.7042,                 1.2117,             0.00024395,             0.00024395,             0.00024395
                      4,                0.91143,                 2.5263,                 1.2361,                0.48555,                0.66056,                0.66159,                0.53583,                 0.8456,                 2.2981,                 1.1012,             0.00032226,             0.00032226,             0.00032226
                      5,                0.86536,                 2.2841,                 1.1933,                0.53785,                0.64996,                0.67543,                0.54854,                0.85207,                 2.1996,                 1.1254,             0.00031981,             0.00031981,             0.00031981
                      6,                0.86241,                 2.0785,                 1.1856,                0.60803,                0.77084,                0.75487,                0.58565,                0.92563,                 1.9332,                 1.1469,             0.00031652,             0.00031652,             0.00031652
                      7,                0.82458,                 1.8886,                 1.1635,                0.65817,                 0.7599,                0.81491,                0.68911,                 0.7121,                 1.6322,                 1.0241,             0.00031322,             0.00031322,             0.00031322
                      8,                0.80054,                 1.7912,                 1.1542,                0.65871,                0.73228,                  0.812,                0.63812,                0.89468,                 1.6705,                  1.148,             0.00030992,             0.00030992,             0.00030992
                      9,                0.81238,                 1.6781,                 1.1517,                0.73231,                0.79637,                 0.8752,                0.73664,                0.77391,                 1.5814,                 1.0682,             0.00030663,             0.00030663,             0.00030663
                     10,                0.77848,                 1.5929,                 1.1309,                0.77024,                0.73755,                0.86771,                0.68031,                 0.9616,                 1.5092,                 1.1562,             0.00030333,             0.00030333,             0.00030333
                     11,                0.77869,                  1.513,                 1.1252,                0.75719,                0.86272,                0.89134,                 0.7354,                0.81168,                  1.351,                  1.097,             0.00030003,             0.00030003,             0.00030003
                     12,                0.75763,                 1.4756,                  1.123,                0.82548,                 0.8685,                0.91958,                0.74001,                0.83329,                 1.1884,                 1.1067,             0.00029674,             0.00029674,             0.00029674
                     13,                0.75273,                 1.4082,                 1.1093,                0.78723,                0.83102,                0.89648,                 0.7091,                 0.8913,                  1.375,                 1.1368,             0.00029344,             0.00029344,             0.00029344
                     14,                0.74283,                 1.3442,                 1.1008,                0.73045,                0.82985,                0.89389,                0.72924,                0.78844,                 1.3414,                 1.0922,             0.00029014,             0.00029014,             0.00029014
                     15,                0.73879,                 1.2951,                 1.0995,                0.79601,                0.85619,                0.90508,                0.73117,                0.85936,                 1.2257,                 1.1144,             0.00028685,             0.00028685,             0.00028685
                     16,                0.73188,                 1.2769,                  1.094,                0.87966,                0.74239,                 0.9159,                0.74195,                0.84772,                 1.1888,                 1.1016,             0.00028355,             0.00028355,             0.00028355
                     17,                0.71637,                 1.2395,                 1.0875,                0.84525,                 0.8388,                 0.9252,                0.74511,                0.87424,                 1.1661,                 1.0942,             0.00028025,             0.00028025,             0.00028025
                     18,                 0.7195,                 1.1799,                 1.0873,                0.84948,                 0.8311,                0.91312,                0.73694,                0.85824,                 1.1656,                 1.0923,             0.00027696,             0.00027696,             0.00027696
                     19,                0.71454,                 1.1535,                 1.0828,                0.85153,                0.89683,                0.93717,                0.74814,                0.84859,                 1.0799,                 1.0991,             0.00027366,             0.00027366,             0.00027366
                     20,                0.71802,                 1.1412,                 1.0814,                0.84518,                0.89007,                0.93522,                 0.7691,                0.82478,                 1.0158,                 1.0742,             0.00027036,             0.00027036,             0.00027036
                     21,                 0.7107,                 1.1548,                  1.086,                0.83598,                0.87397,                0.94858,                0.77255,                0.80866,                 0.9974,                 1.0566,             0.00026707,             0.00026707,             0.00026707
