                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60132,                 0.5926,                 1.0031,                0.91095,                0.88079,                0.95128,                0.76622,                0.88381,                0.57684,                 1.0625,             0.00010983,             0.00010983,             0.00010983
                      2,                0.58375,                0.52979,                0.99425,                0.92508,                0.85846,                0.94504,                0.75859,                0.88258,                0.54579,                 1.0595,             0.00021996,             0.00021996,             0.00021996
                      3,                0.57765,                0.52389,                0.98958,                  0.927,                0.87971,                0.93055,                0.75863,                0.86803,                0.56881,                 1.0516,              0.0003292,              0.0003292,              0.0003292
                      4,                0.56729,                0.52346,                0.99215,                0.92689,                0.87252,                0.92949,                 0.7611,                0.83019,                0.57741,                  1.035,             0.00032904,             0.00032904,             0.00032904
                      5,                0.55308,                0.50442,                0.98234,                0.93794,                0.88979,                0.93701,                0.76566,                0.84394,                0.53019,                 1.0407,             0.00032773,             0.00032773,             0.00032773
                      6,                0.57179,                0.51058,                0.98867,                0.92641,                0.86043,                 0.9354,                0.75273,                0.90375,                0.56778,                 1.0587,             0.00032641,             0.00032641,             0.00032641
                      7,                0.55462,                0.50213,                0.98579,                0.92221,                0.87457,                 0.9441,                0.76137,                0.88433,                0.57632,                 1.0589,             0.00032509,             0.00032509,             0.00032509
                      8,                0.54365,                0.49264,                0.98472,                0.93105,                0.88607,                0.93716,                0.75635,                0.91946,                0.57594,                 1.0897,             0.00032377,             0.00032377,             0.00032377
                      9,                0.55537,                0.49206,                0.98607,                0.92032,                0.86346,                0.91918,                0.76026,                 0.8001,                0.53231,                 1.0104,             0.00032245,             0.00032245,             0.00032245
                     10,                 0.5445,                 0.4809,                0.98324,                0.88056,                0.89576,                0.92208,                0.74984,                0.84966,                0.52994,                 1.0481,             0.00032113,             0.00032113,             0.00032113
                     11,                0.55023,                 0.4879,                0.98047,                0.89727,                0.87737,                0.94617,                0.78202,                0.83863,                0.56735,                 1.0378,             0.00031981,             0.00031981,             0.00031981
                     12,                 0.5479,                0.47556,                0.98438,                0.93634,                0.88559,                0.95134,                0.77747,                0.85831,                0.51161,                 1.0455,             0.00031849,             0.00031849,             0.00031849
                     13,                0.53391,                0.46791,                0.97528,                0.92222,                0.88103,                0.93919,                0.76868,                0.85752,                0.57767,                 1.0447,             0.00031718,             0.00031718,             0.00031718
                     14,                0.53558,                0.46555,                0.97511,                0.94417,                0.86584,                0.94412,                 0.7792,                0.82531,                0.51387,                 1.0205,             0.00031586,             0.00031586,             0.00031586
                     15,                0.53787,                0.46355,                0.97458,                0.90162,                 0.8824,                0.94421,                0.75983,                0.92635,                0.58434,                 1.0886,             0.00031454,             0.00031454,             0.00031454
                     16,                 0.5399,                0.45579,                0.97612,                0.94362,                0.86655,                0.94857,                0.76679,                0.89918,                0.53823,                  1.067,             0.00031322,             0.00031322,             0.00031322
                     17,                0.52115,                0.45293,                0.96583,                0.91855,                0.83929,                0.94027,                0.76784,                0.86605,                0.60771,                 1.0607,              0.0003119,              0.0003119,              0.0003119
                     18,                0.53503,                0.44886,                0.97559,                 0.9012,                0.85009,                0.93821,                0.78111,                0.80747,                0.56974,                 1.0202,             0.00031058,             0.00031058,             0.00031058
                     19,                0.53959,                 0.4676,                0.97565,                 0.9176,                0.86198,                0.94427,                0.76802,                0.86143,                0.56449,                 1.0434,             0.00030926,             0.00030926,             0.00030926
                     20,                0.53334,                0.45395,                0.97133,                0.94821,                0.86982,                0.94265,                0.77774,                0.81564,                0.50547,                 1.0243,             0.00030795,             0.00030795,             0.00030795
                     21,                0.52478,                0.44371,                0.97105,                0.93484,                0.85103,                0.93809,                 0.7658,                0.86985,                0.57625,                 1.0536,             0.00030663,             0.00030663,             0.00030663
                     22,                0.52372,                0.46118,                0.97567,                 0.9287,                0.84638,                0.94231,                0.77844,                0.81319,                0.55425,                 1.0259,             0.00030531,             0.00030531,             0.00030531
                     23,                0.52712,                 0.4489,                0.96819,                0.89909,                0.87938,                0.94617,                0.77057,                0.84295,                0.57081,                 1.0337,             0.00030399,             0.00030399,             0.00030399
                     24,                0.51098,                0.43313,                0.96207,                0.87462,                0.88101,                0.94791,                0.78755,                0.83331,                0.54052,                 1.0246,             0.00030267,             0.00030267,             0.00030267
                     25,                0.51798,                0.43629,                 0.9635,                0.92754,                0.85938,                0.95275,                0.79079,                0.80059,                0.53437,                0.99913,             0.00030135,             0.00030135,             0.00030135
                     26,                0.50723,                0.43344,                0.96513,                0.92149,                0.88042,                0.95886,                0.78508,                0.83505,                0.52783,                 1.0329,             0.00030003,             0.00030003,             0.00030003
                     27,                0.50413,                0.43089,                0.95758,                0.92091,                0.87777,                0.93537,                0.77273,                 0.8547,                0.53797,                 1.0369,             0.00029871,             0.00029871,             0.00029871
                     28,                0.49948,                0.41567,                0.96237,                0.93962,                0.88452,                0.94565,                0.78528,                0.81178,                0.51308,                 1.0201,              0.0002974,              0.0002974,              0.0002974
                     29,                0.50658,                0.43209,                0.96555,                0.92862,                0.87722,                0.94243,                0.77777,                0.83114,                0.54212,                 1.0275,             0.00029608,             0.00029608,             0.00029608
                     30,                0.50541,                0.42272,                0.96067,                0.93121,                0.86389,                0.93908,                0.77046,                 0.8366,                 0.5578,                 1.0402,             0.00029476,             0.00029476,             0.00029476
                     31,                0.50904,                0.42694,                0.96374,                  0.913,                0.86365,                 0.9514,                0.77469,                0.85473,                0.56454,                 1.0402,             0.00029344,             0.00029344,             0.00029344
                     32,                 0.5085,                0.42292,                0.96469,                0.85555,                0.87407,                0.92066,                0.77155,                0.79553,                0.61829,                0.99449,             0.00029212,             0.00029212,             0.00029212
                     33,                0.50247,                0.42628,                0.96816,                0.90864,                0.85374,                0.92074,                0.74691,                0.84658,                0.62475,                 1.0253,              0.0002908,              0.0002908,              0.0002908
                     34,                0.50652,                0.42479,                 0.9647,                0.92851,                0.87846,                0.94233,                0.77059,                0.84253,                0.58317,                 1.0411,             0.00028948,             0.00028948,             0.00028948
                     35,                0.50082,                0.41749,                0.96454,                0.90581,                0.86801,                0.92872,                 0.7585,                0.84855,                0.60976,                 1.0248,             0.00028816,             0.00028816,             0.00028816
                     36,                0.50513,                0.41548,                0.96091,                0.88314,                0.87672,                0.92934,                0.77679,                0.77988,                0.57166,                0.99217,             0.00028685,             0.00028685,             0.00028685
                     37,                0.48639,                0.40018,                0.95679,                0.92623,                0.84977,                0.94867,                0.79322,                 0.7729,                0.52691,                0.98969,             0.00028553,             0.00028553,             0.00028553
                     38,                0.49086,                0.40676,                0.95614,                0.91018,                0.86614,                0.93761,                0.75372,                0.88123,                0.59573,                 1.0628,             0.00028421,             0.00028421,             0.00028421
                     39,                0.49428,                0.39768,                 0.9586,                0.90006,                  0.877,                0.94915,                0.77874,                0.83235,                0.55395,                  1.029,             0.00028289,             0.00028289,             0.00028289
                     40,                 0.4958,                0.41274,                0.96412,                0.94035,                0.86511,                0.96019,                0.79634,                0.80418,                0.50965,                 1.0161,             0.00028157,             0.00028157,             0.00028157
                     41,                0.50627,                0.41364,                0.96968,                0.93704,                0.86724,                0.93263,                0.76447,                0.85268,                0.56865,                 1.0412,             0.00028025,             0.00028025,             0.00028025
                     42,                0.49278,                0.40431,                0.95723,                0.91083,                0.85213,                0.92599,                0.76994,                0.79968,                0.61162,                 1.0166,             0.00027893,             0.00027893,             0.00027893
                     43,                 0.5104,                0.41902,                0.96281,                0.91615,                0.86606,                 0.9382,                0.79459,                0.73957,                0.54641,                0.98219,             0.00027762,             0.00027762,             0.00027762
                     44,                0.52111,                0.43723,                0.96712,                0.90339,                0.86483,                0.93599,                0.76638,                0.84927,                0.58396,                 1.0461,              0.0002763,              0.0002763,              0.0002763
